 Device Time, Longitude, Latitude,GPS Altitude(m), Bearing,GPS Speed (Meters/second),Speed (GPS)(km/h), Horizontal Dilution of Precision, G(x), G(y), G(z), G(calibrated),Engine Coolant Temperature(C),Engine RPM(rpm),Speed (OBD)(km/h),Average trip speed(whilst stopped or moving)(km/h),Average trip speed(whilst moving only)(km/h),Trip Time(Since journey start)(s),Trip Distance(km),Fuel Remaining (Calculated from vehicle profile)(%),Distance to empty (Estimated)(km),Fuel used (trip)(l),Trip average Litres/100 KM(l/100km),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km)
01-may-2015 11:55:28.711,19.10730166,44.37646387,226,0,0,0,18,0.49,8.2,5.66,0.04,78,903,0,-,-,0,-,79.99,-,-,-,-,15.48
01-may-2015 11:55:29.697,19.10729322,44.37646509,226,0,0,0,18,8.99,0.99,3.48,0.01,78,903,0,0,-,0,-,79.99,-,-,-,-,15.48
01-may-2015 11:55:30.703,19.10731058,44.37648044,226,0,0,0,10,8.61,0.44,1.68,-0.09,78,903,0,0,-,0,-,79.99,-,-,-,-,15.48
01-may-2015 11:55:31.700,19.10730933,44.37650372,225,0,0,0,9,8.61,0.44,1.68,-0.09,78,903,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:32.694,19.1072822,44.37649377,226,0,0,0,8,8.61,0.44,1.68,-0.09,78,903,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:33.694,19.10726817,44.3764878,227,0,0,0,7,8.61,0.44,1.68,-0.09,78,903,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:34.708,19.10726646,44.37649064,227,0,0,0,7,9.48,0.09,0.8,-0.01,78,903,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:35.701,19.10726348,44.37649899,226,0,0,0,7,9.67,0.25,1.05,0.01,78,903,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:36.708,19.10726624,44.37651475,225,0,0,0,6,9.67,-0.29,0.45,0.01,78,903,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:37.695,19.10726868,44.3765176,224,0,0,0,6,9.58,0.43,0.85,0,78,904,0,0,-,0,-,79.99,-,-,-,-,18.59
01-may-2015 11:55:38.691,19.10728002,44.37652212,224,0,0,0,6,9.51,0.13,-0.21,-0.01,78,904,0,0,-,0,-,79.99,-,-,-,-,18.59
